geolocation_zip_code_prefix,Country,geolocation_city,geolocation_state,cnt
04336,Brazil,sao paulo,SP,40
05591,Brazil,sao paulo,SP,25
02679,Brazil,sao paulo,SP,25
03220,Brazil,sao paulo,SP,103
04609,Brazil,sao paulo,SP,28
03917,Brazil,sao paulo,SP,31
05541,Brazil,sao paulo,SP,220
05347,Brazil,sao paulo,SP,20
02526,Brazil,sao paulo,SP,17
05743,Brazil,sao paulo,SP,8
03545,Brazil,sao paulo,SP,21
03942,Brazil,sao paulo,SP,12
03925,Brazil,sao paulo,SP,14
08031,Brazil,sao paulo,SP,150
04229,Brazil,sao paulo,SP,1
08245,Brazil,sao paulo,SP,65
05084,Brazil,sao paulo,SP,11
08265,Brazil,sao paulo,SP,74
05106,Brazil,sao paulo,SP,12
02078,Brazil,sao paulo,SP,37
05571,Brazil,sao paulo,SP,35
04447,Brazil,sao paulo,SP,88
03315,Brazil,sao paulo,SP,28
08215,Brazil,sao paulo,SP,179
04082,Brazil,sao paulo,SP,35
04886,Brazil,sao paulo,SP,1
04686,Brazil,sao paulo,SP,58
05652,Brazil,sao paulo,SP,13
04074,Brazil,sao paulo,SP,8
02760,Brazil,sao paulo,SP,9
04052,Brazil,sao paulo,SP,76
01252,Brazil,sao paulo,SP,37
03208,Brazil,sao paulo,SP,21
03511,Brazil,sao paulo,SP,29
04019,Brazil,sao paulo,SP,48
04334,Brazil,sao paulo,SP,49
05526,Brazil,sao paulo,SP,10
03336,Brazil,sao paulo,SP,59
01441,Brazil,sao paulo,SP,14
05835,Brazil,sao paulo,SP,166
05574,Brazil,sao paulo,SP,65
03452,Brazil,sao paulo,SP,8
02443,Brazil,sao paulo,SP,70
04070,Brazil,sao paulo,SP,18
03477,Brazil,sao paulo,SP,96
04881,Brazil,sao paulo,SP,2
03320,Brazil,sao paulo,SP,79
05012,Brazil,sao paulo,SP,74
04778,Brazil,sao paulo,SP,1
03265,Brazil,sao paulo,SP,12
02223,Brazil,sao paulo,SP,52
02187,Brazil,sao paulo,SP,13
03550,Brazil,sao paulo,SP,16
05529,Brazil,sao paulo,SP,40
01549,Brazil,sao paulo,SP,61
03366,Brazil,sao paulo,SP,31
04795,Brazil,sao paulo,SP,42
04743,Brazil,sao paulo,SP,37
05878,Brazil,sao paulo,SP,33
02115,Brazil,sao paulo,SP,22
02617,Brazil,sao paulo,SP,62
03647,Brazil,sao paulo,SP,48
03683,Brazil,sao paulo,SP,35
02123,Brazil,sao paulo,SP,19
03226,Brazil,sao paulo,SP,22
03380,Brazil,sao paulo,SP,55
04182,Brazil,sao paulo,SP,64
04643,Brazil,sao paulo,SP,3
04570,Brazil,sao paulo,SP,23
05833,Brazil,sao paulo,SP,63
05465,Brazil,sao paulo,SP,46
03318,Brazil,sao paulo,SP,90
03945,Brazil,sao paulo,SP,37
04532,Brazil,sao paulo,SP,103
02230,Brazil,sao paulo,SP,42
05866,Brazil,sao paulo,SP,35
04097,Brazil,sao paulo,SP,3
03287,Brazil,sao paulo,SP,27
08070,Brazil,sao paulo,SP,106
02559,Brazil,sao paulo,SP,32
08345,Brazil,sao paulo,SP,27
01322,Brazil,sao paulo,SP,123
05202,Brazil,sao paulo,SP,57
03635,Brazil,sao paulo,SP,7
03365,Brazil,sao paulo,SP,22
04612,Brazil,sao paulo,SP,57
03640,Brazil,sao paulo,SP,44
02566,Brazil,sao paulo,SP,39
05635,Brazil,sao paulo,SP,17
05765,Brazil,sao paulo,SP,30
